CSDUID,CSD,Period,IndicatorSummaryDescription,Age,Age Group,Gender,OriginalValue
4807019,Stettler County No. 6,2024,Population,43,40-44,Male,33
4807019,Stettler County No. 6,2024,Population,44,40-44,Male,24
4807019,Stettler County No. 6,2024,Population,45,45-49,Female,38
4807019,Stettler County No. 6,2024,Population,46,45-49,Female,25
4807019,Stettler County No. 6,2024,Population,47,45-49,Female,42
4807019,Stettler County No. 6,2024,Population,48,45-49,Female,40
4807019,Stettler County No. 6,2024,Population,49,45-49,Female,30
4807019,Stettler County No. 6,2024,Population,45,45-49,Male,27
4807019,Stettler County No. 6,2024,Population,46,45-49,Male,35
4807019,Stettler County No. 6,2024,Population,47,45-49,Male,38
4807019,Stettler County No. 6,2024,Population,48,45-49,Male,45
4807019,Stettler County No. 6,2024,Population,49,45-49,Male,36
4807019,Stettler County No. 6,2024,Population,50,50-54,Female,25
4807019,Stettler County No. 6,2024,Population,51,50-54,Female,33
4807019,Stettler County No. 6,2024,Population,52,50-54,Female,30
4807019,Stettler County No. 6,2024,Population,53,50-54,Female,34
4807019,Stettler County No. 6,2024,Population,54,50-54,Female,38
4807019,Stettler County No. 6,2024,Population,50,50-54,Male,33
4807019,Stettler County No. 6,2024,Population,51,50-54,Male,31
4807019,Stettler County No. 6,2024,Population,52,50-54,Male,34
4807019,Stettler County No. 6,2024,Population,53,50-54,Male,34
4807019,Stettler County No. 6,2024,Population,54,50-54,Male,34
4807019,Stettler County No. 6,2024,Population,55,55-59,Female,27
4807019,Stettler County No. 6,2024,Population,56,55-59,Female,30
4807019,Stettler County No. 6,2024,Population,57,55-59,Female,38
4807019,Stettler County No. 6,2024,Population,58,55-59,Female,37
4807019,Stettler County No. 6,2024,Population,59,55-59,Female,47
4807019,Stettler County No. 6,2024,Population,55,55-59,Male,43
4807019,Stettler County No. 6,2024,Population,56,55-59,Male,30
4807019,Stettler County No. 6,2024,Population,57,55-59,Male,38
4807019,Stettler County No. 6,2024,Population,58,55-59,Male,40
4807019,Stettler County No. 6,2024,Population,59,55-59,Male,38
4807019,Stettler County No. 6,2024,Population,60,60-64,Female,48
4807019,Stettler County No. 6,2024,Population,61,60-64,Female,58
4807019,Stettler County No. 6,2024,Population,62,60-64,Female,54
4807019,Stettler County No. 6,2024,Population,63,60-64,Female,53
4807019,Stettler County No. 6,2024,Population,64,60-64,Female,57
4807019,Stettler County No. 6,2024,Population,60,60-64,Male,46
4807019,Stettler County No. 6,2024,Population,61,60-64,Male,51
4807019,Stettler County No. 6,2024,Population,62,60-64,Male,65
4807019,Stettler County No. 6,2024,Population,63,60-64,Male,45
4807019,Stettler County No. 6,2024,Population,64,60-64,Male,47
4807019,Stettler County No. 6,2024,Population,65,65-69,Female,46
4807019,Stettler County No. 6,2024,Population,66,65-69,Female,36
4807019,Stettler County No. 6,2024,Population,67,65-69,Female,43
4807019,Stettler County No. 6,2024,Population,68,65-69,Female,39
4807019,Stettler County No. 6,2024,Population,69,65-69,Female,33
4807019,Stettler County No. 6,2024,Population,65,65-69,Male,58
4807019,Stettler County No. 6,2024,Population,66,65-69,Male,60
4807019,Stettler County No. 6,2024,Population,67,65-69,Male,54
4807019,Stettler County No. 6,2024,Population,68,65-69,Male,52
4807019,Stettler County No. 6,2024,Population,69,65-69,Male,48
4807019,Stettler County No. 6,2024,Population,70,70-74,Female,18
4807019,Stettler County No. 6,2024,Population,71,70-74,Female,34
4807019,Stettler County No. 6,2024,Population,72,70-74,Female,31
4807019,Stettler County No. 6,2024,Population,73,70-74,Female,22
4807019,Stettler County No. 6,2024,Population,74,70-74,Female,28
4807019,Stettler County No. 6,2024,Population,70,70-74,Male,40
4807019,Stettler County No. 6,2024,Population,71,70-74,Male,48
4807019,Stettler County No. 6,2024,Population,72,70-74,Male,32
4807019,Stettler County No. 6,2024,Population,73,70-74,Male,34
4807019,Stettler County No. 6,2024,Population,74,70-74,Male,24
4807019,Stettler County No. 6,2024,Population,75,75-79,Female,12
