Year,Population
2001,5691
2002,5660
2003,5570
2004,5526
2005,5548
2006,5557
2007,5586
2008,5518
2009,5576
2010,5440
2011,5455
2012,5418
2013,5409
2014,5501
2015,5729
2016,5429
2017,5649
2018,5941
2019,5925
2020,5921
2021,5831
2022,5760
2023,5852
2024,5893
